# Nmap 7.99 scan initiated Wed Aug 19 17:28:18 2026 as: /usr/lib/nmap/nmap -sU --top-ports 20 -oN /home/aether/udp_results.txt 192.168.64.4
Nmap scan report for 192.168.64.4
Host is up (0.0000070s latency).

PORT      STATE  SERVICE
53/udp    closed domain
67/udp    closed dhcps
68/udp    closed dhcpc
69/udp    closed tftp
123/udp   closed ntp
135/udp   closed msrpc
137/udp   closed netbios-ns
138/udp   closed netbios-dgm
139/udp   closed netbios-ssn
161/udp   closed snmp
162/udp   closed snmptrap
445/udp   closed microsoft-ds
500/udp   closed isakmp
514/udp   closed syslog
520/udp   closed route
631/udp   closed ipp
1434/udp  closed ms-sql-m
1900/udp  closed upnp
4500/udp  closed nat-t-ike
49152/udp closed unknown

# Nmap done at Wed Aug 19 17:28:18 2026 -- 1 IP address (1 host up) scanned in 0.67 seconds
